file;num_names;num_glb_names;num_loc_names;nst_logmodel;nst_logmodel_all;nst_logmodel_glb;nst_logmodel_maybe
627267.js;17;13;4;3;16;13;3
4201240.js;10;9;1;0;9;9;0
2440431.js;11;1;10;2;3;1;2
4146243.js;3;1;2;0;1;1;0
2997441.js;27;5;22;0;4;4;0
1372075.js;4;2;2;0;2;2;0
189980.js;6;1;5;1;2;1;1
3389050.js;17;3;14;0;3;3;0
2278351.js;17;3;14;2;5;3;2
12275.js;31;9;22;0;9;9;0
4061007.js;7;1;6;0;1;1;0
123938.js;12;4;8;2;6;4;2
3586496.js;8;5;3;0;5;5;0
671161.js;3;2;1;0;2;2;0
2498590.js;9;3;6;0;3;3;0
4185129.js;14;11;3;0;11;11;0
1569108.js;9;6;3;0;6;6;0
1106502.js;11;9;2;1;10;9;1
305161.js;19;3;16;2;5;3;2
677049.js;4;2;2;1;3;2;2
2410950.js;34;6;28;1;7;6;1
419355.js;14;4;10;0;4;4;0
3242115.js;5;1;4;1;2;1;2
227387.js;2;1;1;0;1;1;0
372790.js;22;3;19;1;4;3;1
822292.js;12;2;10;1;3;2;1
207716.js;21;8;13;1;8;7;1
2860513.js;10;4;6;0;4;4;0
3269534.js;21;14;7;2;14;12;2
4129611.js;23;7;16;0;7;7;0
836488.js;12;6;6;0;5;5;1
1766268.js;38;10;28;1;11;10;1
807631.js;18;6;12;8;14;6;8
485443.js;5;2;3;1;3;2;1
3084967.js;4;2;2;0;2;2;0
2343106.js;13;5;8;2;7;5;2
3960408.js;37;5;32;0;5;5;0
4418.js;9;1;8;0;1;1;0
1240442.js;6;4;2;0;4;4;0
5189053.js;28;7;21;2;9;7;3
4673936.js;10;4;6;1;5;4;1
677992.js;7;3;4;1;4;3;1
317126.js;16;10;6;1;11;10;1
1328314.js;11;7;4;0;7;7;0
2732709.js;5;3;2;0;3;3;0
4867958.js;14;6;8;2;8;6;1
366615.js;16;1;15;0;1;1;0
5334276.js;17;7;10;1;8;7;1
3634478.js;19;2;17;0;2;2;0
4629031.js;23;6;17;0;6;6;0
2847341.js;3;1;2;2;3;1;2
1916929.js;10;6;4;0;5;5;0
1245802.js;12;2;10;0;2;2;0
1353533.js;9;2;7;1;3;2;1
2930910.js;2;1;1;0;1;1;0
1364625.js;10;4;6;0;4;4;0
3468726.js;7;1;6;1;2;1;1
97407.js;46;6;40;4;10;6;4
2248782.js;11;5;6;0;5;5;0
3422735.js;45;6;39;3;9;6;4
977928.js;37;7;30;5;12;7;5
2350503.js;26;4;22;6;10;4;3
2518247.js;25;3;22;1;4;3;1
1151416.js;8;2;6;0;1;1;0
1350087.js;18;3;15;2;5;3;2
263001.js;7;4;3;1;5;4;1
3198911.js;7;1;6;0;1;1;0
1958858.js;6;4;2;0;4;4;0
1269183.js;7;1;6;0;1;1;0
3370530.js;5;1;4;0;1;1;0
3352221.js;9;3;6;0;3;3;0
5174878.js;12;7;5;0;7;7;0
41715.js;34;3;31;0;3;3;0
1162466.js;19;10;9;0;9;9;1
5147329.js;15;5;10;1;6;5;1
913173.js;12;3;9;2;5;3;2
3184950.js;11;7;4;2;9;7;2
237363.js;9;1;8;1;2;1;1
1799144.js;10;6;4;0;6;6;0
4177755.js;12;3;9;1;4;3;1
5321401.js;7;3;4;1;4;3;1
4732669.js;32;16;16;0;16;16;0
2495339.js;3;1;2;0;1;1;0
639382.js;8;2;6;0;2;2;0
2429956.js;39;12;27;2;14;12;2
4959196.js;30;6;24;3;9;6;3
3755109.js;3;1;2;0;1;1;0
267345.js;11;4;7;1;5;4;1
651770.js;34;12;22;1;13;12;1
1859659.js;22;8;14;2;10;8;2
2767451.js;13;8;5;1;9;8;1
3995903.js;26;13;13;1;13;12;1
1933489.js;15;6;9;0;6;6;0
1352742.js;2;1;1;0;1;1;0
1822904.js;4;1;3;1;2;1;1
4123731.js;15;2;13;1;3;2;1
930077.js;9;8;1;0;8;8;0
136356.js;7;4;3;1;5;4;1
3618688.js;4;2;2;2;4;2;2
3475582.js;2;1;1;0;1;1;0
2313213.js;24;3;21;0;3;3;0
336360.js;12;10;2;0;10;10;0
511990.js;12;2;10;3;5;2;3
3386959.js;12;2;10;1;3;2;1
3667181.js;12;5;7;1;6;5;1
2489668.js;4;3;1;0;3;3;0
2902277.js;18;9;9;2;11;9;2
4724728.js;10;2;8;0;2;2;1
4655029.js;25;13;12;3;16;13;3
5203683.js;9;2;7;1;3;2;1
4174032.js;6;1;5;0;1;1;0
3175664.js;35;28;7;2;29;27;4
99099.js;22;15;7;1;16;15;1
283222.js;49;4;45;1;5;4;2
970416.js;14;5;9;1;6;5;1
4088662.js;14;2;12;0;2;2;0
44823.js;18;2;16;4;6;2;4
1279050.js;12;7;5;1;8;7;1
525254.js;7;3;4;0;3;3;0
3590592.js;3;1;2;1;2;1;1
3561348.js;10;2;8;0;2;2;0
1085200.js;7;5;2;0;5;5;0
844967.js;6;4;2;0;4;4;0
1768541.js;28;2;26;1;3;2;1
3575630.js;25;2;23;2;4;2;2
1986594.js;7;4;3;0;4;4;0
379680.js;13;7;6;1;8;7;1
2205731.js;39;14;25;3;17;14;3
3276565.js;14;9;5;0;8;8;0
1839352.js;25;11;14;0;11;11;0
1595339.js;15;2;13;0;2;2;0
2948240.js;5;1;4;0;1;1;0
4656835.js;7;4;3;0;4;4;0
1280872.js;3;1;2;0;1;1;0
1729238.js;9;5;4;0;5;5;0
3078435.js;4;1;3;0;1;1;0
2196517.js;4;2;2;0;2;2;0
725380.js;10;5;5;1;6;5;1
2122235.js;11;8;3;0;8;8;0
319572.js;4;3;1;0;3;3;0
1405339.js;6;0;6;0;0;0;0
4911299.js;2;1;1;0;1;1;0
1942221.js;58;14;44;2;16;14;5
4693208.js;12;4;8;3;7;4;3
566158.js;12;5;7;1;5;4;2
2507936.js;24;2;22;3;5;2;3
874297.js;4;1;3;0;1;1;0
765774.js;18;4;14;1;5;4;1
2636719.js;23;16;7;0;15;15;0
1610360.js;10;6;4;0;6;6;0
4464418.js;6;4;2;0;4;4;0
2748297.js;10;4;6;0;4;4;0
3796005.js;23;5;18;1;6;5;1
212004.js;4;1;3;0;1;1;0
4574512.js;10;3;7;1;4;3;1
2193929.js;27;12;15;4;16;12;5
999267.js;22;3;19;0;3;3;0
618195.js;19;6;13;2;8;6;3
265520.js;10;6;4;2;8;6;2
4987834.js;32;1;31;0;1;1;0
3339996.js;11;5;6;0;5;5;0
3180542.js;3;2;1;0;2;2;0
336649.js;15;2;13;0;2;2;0
4427398.js;7;4;3;2;6;4;2
5213965.js;4;3;1;0;3;3;0
2619202.js;13;7;6;0;7;7;0
3091625.js;16;3;13;0;3;3;0
219931.js;8;4;4;0;4;4;0
1646777.js;26;6;20;2;8;6;2
2002166.js;29;9;20;1;10;9;3
2653407.js;6;2;4;1;3;2;1
2530786.js;43;2;41;3;5;2;4
1074117.js;13;2;11;0;2;2;1
281921.js;11;1;10;0;1;1;0
2584683.js;4;3;1;0;3;3;0
2016549.js;15;1;14;1;2;1;1
281860.js;21;7;14;3;10;7;3
1594821.js;10;3;7;1;4;3;1
290465.js;5;2;3;0;2;2;1
2792741.js;5;2;3;0;2;2;0
265097.js;10;4;6;1;5;4;1
879693.js;7;2;5;1;3;2;1
5131111.js;28;23;5;1;24;23;1
5056029.js;54;29;25;2;31;29;1
4136962.js;32;6;26;3;9;6;2
270887.js;12;1;11;0;1;1;1
1870596.js;18;1;17;0;1;1;0
2281358.js;2;1;1;0;1;1;0
3683314.js;2;1;1;1;2;1;1
765733.js;7;3;4;1;4;3;1
4612523.js;8;5;3;0;5;5;0
263770.js;8;3;5;1;4;3;1
4656386.js;26;7;19;1;8;7;1
275131.js;8;4;4;2;6;4;2
28096.js;24;3;21;3;6;3;3
1000976.js;6;1;5;0;1;1;0
1841992.js;49;4;45;6;10;4;7
1040648.js;5;4;1;0;4;4;0
425947.js;23;3;20;4;7;3;4
1749205.js;2;1;1;0;1;1;0
375816.js;28;23;5;5;28;23;5
2937148.js;24;7;17;3;9;6;3
4364787.js;14;4;10;4;8;4;4
2929187.js;35;18;17;3;21;18;3
1797807.js;25;3;22;2;5;3;3
1711267.js;27;3;24;1;4;3;1
1652635.js;8;5;3;0;5;5;0
849563.js;19;2;17;0;2;2;0
5181513.js;7;3;4;1;4;3;1
5069746.js;54;1;53;3;4;1;3
523129.js;25;10;15;0;9;9;0
5125208.js;16;3;13;0;3;3;0
3528582.js;23;2;21;3;4;1;3
4418926.js;13;3;10;2;5;3;2
2924594.js;18;7;11;0;7;7;0
3903999.js;4;2;2;0;2;2;0
104164.js;22;1;21;0;1;1;1
3234281.js;29;2;27;4;6;2;4
729341.js;9;3;6;0;2;2;0
2847373.js;3;1;2;2;3;1;2
1915677.js;27;5;22;2;7;5;3
4530113.js;45;10;35;2;12;10;2
3670281.js;35;9;26;3;11;8;3
609805.js;45;14;31;1;15;14;1
628780.js;16;15;1;0;14;14;0
3704097.js;25;4;21;1;5;4;1
4325775.js;10;5;5;1;6;5;1
1821557.js;57;14;43;6;20;14;6
2312165.js;13;3;10;2;5;3;2
1835996.js;3;1;2;0;1;1;1
2307576.js;9;5;4;0;5;5;0
968446.js;3;2;1;1;3;2;1
2223083.js;23;15;8;0;15;15;0
3383150.js;13;3;10;0;3;3;0
129081.js;3;1;2;0;1;1;0
4232545.js;7;1;6;0;1;1;0
617337.js;7;2;5;1;3;2;1
290166.js;13;12;1;0;11;11;0
2094817.js;7;4;3;0;4;4;0
3951638.js;7;2;5;0;2;2;0
3624773.js;8;6;2;0;6;6;0
2201585.js;8;4;4;0;4;4;0
4196027.js;44;16;28;2;18;16;2
542901.js;24;1;23;4;5;1;4
862615.js;11;2;9;0;2;2;0
3810622.js;21;13;8;1;14;13;1
1373503.js;24;5;19;0;5;5;0
2454282.js;12;5;7;1;6;5;1
1283520.js;19;7;12;1;8;7;1
3968157.js;12;5;7;0;5;5;0
1184972.js;10;7;3;0;7;7;0
604351.js;9;1;8;1;2;1;2
3987006.js;37;6;31;2;8;6;2
4611052.js;8;4;4;1;5;4;1
883501.js;9;1;8;4;5;1;4
15442.js;10;4;6;2;6;4;2
2863978.js;19;3;16;0;3;3;0
266355.js;15;4;11;1;5;4;1
4955396.js;24;2;22;4;6;2;4
110582.js;14;8;6;1;8;7;1
2777161.js;4;2;2;0;2;2;0
1839307.js;31;14;17;2;15;13;2
412592.js;5;4;1;0;4;4;0
4025022.js;5;2;3;0;1;1;0
1305443.js;10;6;4;0;6;6;0
1803496.js;10;1;9;0;1;1;0
1916712.js;26;15;11;1;16;15;1
2865950.js;4;1;3;0;1;1;0
677963.js;5;4;1;0;4;4;0
469405.js;16;5;11;0;5;5;0
2630672.js;34;9;25;0;9;9;0
3615792.js;12;1;11;2;3;1;2
4319492.js;24;1;23;2;3;1;2
2033551.js;25;10;15;1;11;10;0
1353707.js;7;2;5;0;2;2;0
1094514.js;10;7;3;0;6;6;0
515520.js;12;4;8;0;4;4;0
950994.js;56;11;45;5;15;10;6
872701.js;6;1;5;0;1;1;0
3222522.js;3;1;2;0;1;1;0
1131446.js;11;4;7;0;4;4;0
3560677.js;2;1;1;0;1;1;0
233418.js;20;13;7;1;14;13;1
2742234.js;14;5;9;0;5;5;0
4190241.js;3;1;2;0;1;1;0
748526.js;11;5;6;1;6;5;1
1153179.js;2;1;1;0;1;1;0
861297.js;8;4;4;2;6;4;2
690254.js;5;1;4;2;3;1;1
807314.js;11;1;10;0;1;1;0
3751157.js;18;2;16;2;4;2;2
1857913.js;25;11;14;2;13;11;3
3479629.js;11;4;7;1;5;4;1
5334823.js;7;5;2;0;4;4;0
4231806.js;25;13;12;3;16;13;3
3298356.js;10;5;5;0;5;5;0
571028.js;7;2;5;2;4;2;2
4662285.js;3;2;1;0;2;2;0
4526263.js;8;4;4;0;3;3;0
10503.js;4;2;2;0;2;2;0
1076476.js;24;3;21;3;6;3;3
1662521.js;11;2;9;2;4;2;2
3130831.js;14;4;10;1;5;4;1
2910344.js;3;2;1;0;2;2;0
4232924.js;4;2;2;0;2;2;0
35377.js;7;3;4;0;3;3;0
50462.js;18;5;13;0;5;5;0
209776.js;7;2;5;0;2;2;0
927763.js;15;6;9;0;6;6;0
665877.js;15;2;13;3;5;2;4
3220027.js;6;4;2;0;4;4;0
3986733.js;8;2;6;0;2;2;0
626596.js;14;10;4;0;10;10;0
492542.js;12;6;6;0;6;6;0
4578423.js;3;2;1;0;2;2;0
532888.js;16;7;9;0;7;7;0
443684.js;10;3;7;0;3;3;0
1712749.js;5;3;2;0;3;3;0
2896439.js;14;2;12;1;3;2;1
3932222.js;5;2;3;0;2;2;0
3036833.js;14;7;7;1;8;7;1
3066402.js;13;2;11;3;5;2;3
3724401.js;8;1;7;2;3;1;1
1210500.js;24;4;20;1;5;4;1
5119875.js;48;13;35;1;14;13;1
2040061.js;21;10;11;0;10;10;0
2150257.js;12;3;9;0;3;3;0
3346902.js;21;5;16;0;5;5;0
2849207.js;4;3;1;0;3;3;0
4263240.js;21;2;19;1;3;2;2
2934518.js;4;1;3;1;2;1;1
2966709.js;32;10;22;3;13;10;3
4838851.js;7;5;2;1;6;5;1
885710.js;28;9;19;4;13;9;5
3698571.js;31;5;26;1;5;4;1
4807262.js;29;12;17;3;14;11;3
3023757.js;22;3;19;3;6;3;3
494663.js;10;2;8;1;3;2;1
5036214.js;12;2;10;1;3;2;1
3311315.js;10;1;9;1;2;1;1
4753881.js;17;2;15;1;3;2;1
2191963.js;15;4;11;2;6;4;3
16203.js;33;7;26;0;7;7;0
3442656.js;16;11;5;1;12;11;1
3424452.js;15;6;9;2;8;6;2
1720447.js;18;4;14;1;5;4;1
254620.js;10;1;9;1;2;1;1
1347386.js;13;2;11;0;2;2;0
5139692.js;16;3;13;2;5;3;2
1134308.js;9;4;5;0;4;4;0
418741.js;10;1;9;0;1;1;0
134644.js;8;1;7;0;1;1;0
1154278.js;6;2;4;0;2;2;0
1220231.js;21;9;12;1;10;9;2
1763122.js;39;11;28;0;11;11;0
2824562.js;16;11;5;0;11;11;0
2071333.js;10;8;2;0;7;7;0
3549572.js;5;2;3;0;2;2;0
4917900.js;23;8;15;0;8;8;0
2928509.js;3;1;2;0;1;1;0
3336793.js;20;1;19;3;4;1;4
4081130.js;8;5;3;2;6;4;2
81312.js;22;4;18;8;12;4;8
5871.js;20;3;17;0;3;3;2
3219415.js;7;6;1;0;6;6;0
4261038.js;5;1;4;0;1;1;0
2795899.js;4;2;2;0;2;2;0
4049327.js;7;5;2;0;5;5;0
4368247.js;36;6;30;4;10;6;4
755764.js;28;1;27;2;3;1;3
1775149.js;13;2;11;0;2;2;0
3522256.js;12;7;5;0;7;7;0
640182.js;7;2;5;1;3;2;1
1745369.js;9;6;3;0;6;6;0
2272350.js;5;1;4;0;1;1;0
2710890.js;15;10;5;0;10;10;0
2272296.js;3;1;2;0;1;1;0
578077.js;14;5;9;1;6;5;1
355989.js;9;4;5;1;5;4;1
2709422.js;10;3;7;0;3;3;0
860193.js;12;4;8;1;4;3;1
1261441.js;4;2;2;0;2;2;0
4829796.js;17;1;16;0;1;1;0
267424.js;11;3;8;1;4;3;1
820466.js;6;4;2;0;3;3;0
1426235.js;24;7;17;0;7;7;0
4800912.js;10;3;7;1;4;3;1
192105.js;5;2;3;0;2;2;0
100501.js;22;14;8;1;15;14;1
351917.js;7;2;5;2;4;2;1
3989262.js;17;3;14;0;3;3;0
2348607.js;5;4;1;0;4;4;0
2902522.js;32;17;15;1;16;15;1
4094334.js;23;13;10;0;13;13;0
2040767.js;10;3;7;0;3;3;0
220433.js;16;3;13;0;3;3;0
1963007.js;31;9;22;10;19;9;10
185172.js;36;6;30;4;10;6;4
5272047.js;11;3;8;0;3;3;0
936819.js;32;5;27;3;8;5;3
4936604.js;7;5;2;0;5;5;0
3939378.js;3;1;2;0;1;1;0
2466387.js;11;4;7;0;4;4;0
1122799.js;24;15;9;0;15;15;0
3683245.js;4;2;2;0;2;2;1
2932923.js;18;14;4;0;14;14;0
3283142.js;21;3;18;2;5;3;3
691748.js;11;2;9;0;2;2;0
213443.js;11;7;4;2;9;7;2
2909398.js;10;5;5;0;5;5;0
401460.js;3;2;1;0;2;2;0
522762.js;19;5;14;3;8;5;3
3440337.js;6;1;5;0;1;1;0
2272027.js;11;1;10;1;2;1;1
3181634.js;36;8;28;2;9;7;2
780248.js;19;5;14;2;7;5;2
1126847.js;14;1;13;2;3;1;1
2256381.js;4;1;3;0;1;1;0
3975754.js;3;1;2;0;1;1;0
199460.js;30;2;28;2;4;2;2
997449.js;49;5;44;1;6;5;1
2191678.js;27;14;13;1;14;13;1
4060888.js;7;1;6;0;1;1;0
3479462.js;10;6;4;0;6;6;0
5228538.js;14;1;13;3;4;1;3
1170095.js;29;3;26;5;8;3;7
3697482.js;13;8;5;0;8;8;0
1677664.js;13;8;5;0;8;8;0
412426.js;19;6;13;1;7;6;0
2063491.js;8;4;4;0;4;4;0
3938451.js;13;1;12;0;1;1;0
2585486.js;36;8;28;4;12;8;4
1177030.js;23;15;8;3;18;15;3
1655515.js;3;1;2;2;3;1;2
3546939.js;19;5;14;0;5;5;0
4746611.js;19;3;16;0;3;3;0
1067848.js;15;8;7;0;8;8;0
542222.js;3;1;2;0;1;1;0
3879457.js;63;24;39;26;49;23;26
117588.js;3;1;2;0;1;1;0
2111689.js;16;1;15;3;4;1;4
1338500.js;4;2;2;0;2;2;0
213020.js;30;21;9;0;20;20;1
874989.js;21;12;9;6;17;11;6
1316174.js;14;8;6;0;8;8;0
1188226.js;21;8;13;6;14;8;6
277967.js;4;2;2;1;3;2;1
2799249.js;12;4;8;1;5;4;1
3292120.js;8;6;2;0;6;6;0
1031454.js;3;1;2;1;2;1;1
2343751.js;6;5;1;0;4;4;0
4510058.js;11;6;5;0;5;5;0
2356903.js;29;2;27;1;3;2;1
617426.js;19;7;12;0;7;7;0
1461060.js;36;2;34;0;2;2;0
1158509.js;21;1;20;0;1;1;0
3284957.js;10;3;7;0;3;3;0
1369716.js;38;14;24;2;16;14;2
2276860.js;5;3;2;0;2;2;0
2499109.js;15;3;12;0;3;3;0
1709365.js;9;1;8;1;2;1;1
1856954.js;15;11;4;1;11;10;1
3293549.js;4;3;1;0;3;3;0
677267.js;14;5;9;1;6;5;1
3456659.js;5;2;3;0;2;2;0
415365.js;33;2;31;3;5;2;4
1859869.js;7;1;6;1;2;1;1
636801.js;6;1;5;3;4;1;3
5257655.js;19;16;3;0;16;16;0
3148904.js;27;7;20;0;7;7;0
41451.js;9;5;4;0;4;4;0
4968185.js;8;1;7;1;2;1;1
396177.js;19;17;2;1;17;16;1
3280104.js;12;6;6;0;6;6;1
3281878.js;16;3;13;0;3;3;0
1087489.js;5;2;3;0;2;2;0
589011.js;17;1;16;0;1;1;0
4770598.js;4;1;3;0;1;1;0
3067253.js;10;3;7;0;3;3;0
140674.js;4;2;2;0;2;2;0
1470555.js;22;7;15;1;8;7;1
2831406.js;13;1;12;1;2;1;1
4021921.js;2;1;1;0;1;1;0
3267674.js;23;7;16;0;7;7;2
3688230.js;13;6;7;0;6;6;0
108809.js;13;6;7;0;6;6;1
508296.js;18;9;9;0;9;9;0
1353110.js;7;6;1;0;5;5;0
2467977.js;8;2;6;1;3;2;1
4458432.js;7;2;5;1;3;2;0
3966634.js;3;1;2;2;3;1;2
1022753.js;8;4;4;3;7;4;3
479175.js;14;3;11;0;3;3;0
4705409.js;7;2;5;0;2;2;0
1303708.js;21;5;16;2;7;5;2
33031.js;17;1;16;0;1;1;0
292126.js;11;7;4;0;6;6;0
249921.js;21;6;15;4;10;6;4
2949184.js;27;15;12;0;15;15;1
3329165.js;11;7;4;0;7;7;0
3512254.js;10;2;8;0;2;2;0
3036654.js;29;7;22;2;9;7;2
611673.js;46;14;32;5;19;14;5
1405982.js;2;1;1;0;1;1;0
221339.js;14;3;11;1;4;3;1
526902.js;6;2;4;0;2;2;0
4749132.js;8;3;5;3;6;3;3
4820829.js;15;7;8;1;8;7;1
2604624.js;46;7;39;1;8;7;1
2060567.js;16;2;14;3;4;1;3
2966902.js;14;1;13;0;1;1;0
720876.js;5;1;4;0;1;1;0
4055844.js;5;3;2;0;3;3;0
3799378.js;10;8;2;0;8;8;0
1860879.js;17;2;15;2;4;2;2
2242309.js;14;2;12;0;2;2;1
1347229.js;6;2;4;1;3;2;1
3800941.js;4;2;2;0;2;2;0
426335.js;16;1;15;0;1;1;0
3063595.js;14;1;13;1;2;1;1
2525743.js;31;4;27;1;5;4;1
1682582.js;16;8;8;1;8;7;1
4975290.js;12;4;8;0;4;4;0
757708.js;17;11;6;1;12;11;1
411881.js;19;2;17;2;4;2;2
3215289.js;18;8;10;2;10;8;2
4952351.js;15;2;13;0;2;2;0
5029512.js;39;13;26;2;14;12;2
4755850.js;28;3;25;3;6;3;3
1298498.js;44;10;34;1;11;10;1
4394108.js;32;5;27;3;8;5;4
3490427.js;19;6;13;0;5;5;1
896331.js;43;4;39;0;4;4;0
973156.js;26;5;21;0;5;5;0
795102.js;34;6;28;4;10;6;4
3750656.js;12;3;9;0;3;3;0
2754103.js;14;9;5;1;10;9;1
3246247.js;26;10;16;1;11;10;1
1458158.js;12;1;11;2;3;1;2
267568.js;14;4;10;1;5;4;1
1856804.js;5;4;1;0;3;3;0
1162001.js;5;4;1;0;4;4;0
3282284.js;5;1;4;0;1;1;0
4723564.js;32;11;21;0;11;11;1
1258931.js;16;12;4;0;12;12;0
379587.js;5;3;2;0;3;3;0
3553722.js;15;13;2;1;13;12;1
1884680.js;23;4;19;2;6;4;2
3293941.js;6;3;3;0;3;3;0
4151296.js;24;8;16;1;9;8;1
1225858.js;20;3;17;0;3;3;2
3735331.js;10;5;5;0;4;4;0
4868316.js;22;2;20;0;2;2;0
3394304.js;3;1;2;0;1;1;0
4752925.js;8;2;6;1;3;2;1
2088963.js;16;9;7;1;10;9;1
250304.js;20;9;11;1;10;9;1
4276769.js;6;5;1;0;5;5;0
2330945.js;14;1;13;4;5;1;4
3316992.js;17;7;10;4;11;7;4
4054328.js;17;1;16;2;3;1;2
214169.js;14;5;9;3;8;5;3
729465.js;11;4;7;0;4;4;0
4799765.js;7;2;5;1;3;2;1
3471219.js;20;8;12;1;9;8;1
5257002.js;7;1;6;0;1;1;0
1988631.js;4;3;1;0;3;3;0
956374.js;8;4;4;0;4;4;0
3957811.js;6;2;4;1;3;2;1
1792625.js;3;2;1;0;2;2;0
4906916.js;9;1;8;0;1;1;0
2265982.js;28;10;18;0;9;9;0
4794805.js;24;4;20;3;7;4;5
3605477.js;25;6;19;4;10;6;4
2565286.js;14;7;7;0;7;7;0
3037202.js;11;6;5;0;6;6;0
863408.js;16;1;15;2;3;1;2
3189624.js;18;3;15;1;4;3;2
1862139.js;20;2;18;1;3;2;1
3198755.js;3;2;1;0;2;2;0
3076121.js;23;2;21;1;3;2;2
2400296.js;21;8;13;0;8;8;0
56305.js;12;2;10;1;3;2;1
869730.js;18;7;11;0;7;7;0
3588323.js;9;4;5;0;3;3;0
16939.js;63;2;61;0;2;2;0
1839243.js;17;9;8;0;9;9;0
264118.js;9;4;5;1;5;4;1
783356.js;32;5;27;3;7;4;3
626419.js;11;9;2;0;9;9;0
3631235.js;10;5;5;0;4;4;1
27908.js;2;1;1;0;1;1;0
104897.js;5;4;1;1;5;4;1
3730136.js;47;18;29;3;21;18;3
119940.js;10;3;7;1;4;3;1
944374.js;17;9;8;2;11;9;2
1958399.js;10;1;9;2;3;1;2
1158949.js;4;2;2;0;2;2;0
914598.js;6;2;4;0;2;2;0
3089180.js;4;2;2;0;2;2;0
1350061.js;3;2;1;0;2;2;0
971120.js;25;11;14;0;10;10;0
5238572.js;6;3;3;0;3;3;0
1742529.js;45;13;32;2;15;13;2
3815541.js;43;1;42;1;2;1;1
333005.js;26;1;25;1;2;1;2
677638.js;9;3;6;1;4;3;1
1781310.js;8;7;1;1;8;7;1
770954.js;9;6;3;0;6;6;0
4808456.js;26;8;18;3;11;8;3
282831.js;3;1;2;1;2;1;2
2552147.js;6;3;3;0;3;3;0
1891690.js;5;2;3;0;2;2;0
2784971.js;5;3;2;0;3;3;0
2690203.js;9;5;4;0;5;5;0
4808663.js;16;5;11;0;4;4;0
4222022.js;15;6;9;0;6;6;0
1814692.js;6;3;3;0;3;3;0
2203746.js;14;4;10;0;4;4;0
2146971.js;15;6;9;0;6;6;0
929830.js;16;7;9;0;7;7;0
1072065.js;2;1;1;1;2;1;1
1660035.js;44;5;39;1;6;5;1
4088736.js;8;3;5;0;3;3;0
973911.js;22;2;20;3;5;2;3
3947373.js;7;3;4;0;3;3;0
2006926.js;43;7;36;9;16;7;6
733445.js;3;2;1;0;2;2;0
128603.js;24;5;19;2;7;5;2
4644325.js;12;10;2;0;10;10;0
2016772.js;17;15;2;0;15;15;0
4864714.js;15;8;7;1;9;8;1
3517445.js;25;14;11;2;16;14;2
3633288.js;14;1;13;1;2;1;2
3431096.js;24;3;21;0;3;3;0
301897.js;35;7;28;2;9;7;2
2189232.js;4;2;2;0;2;2;0
2676079.js;40;11;29;2;13;11;1
1458322.js;23;1;22;5;6;1;5
1736532.js;24;5;19;0;5;5;0
4036828.js;20;10;10;0;10;10;0
212804.js;12;3;9;0;3;3;0
318447.js;9;2;7;0;2;2;0
1720575.js;10;2;8;0;2;2;0
2802609.js;15;4;11;2;6;4;2
2555045.js;9;6;3;0;6;6;0
5066290.js;3;1;2;2;3;1;2
5044409.js;15;7;8;2;9;7;2
4443725.js;12;3;9;0;3;3;0
519038.js;13;4;9;1;5;4;1
1368286.js;51;6;45;6;12;6;5
35239.js;34;1;33;1;2;1;1
3946520.js;8;4;4;1;5;4;1
3424205.js;5;2;3;2;4;2;2
662008.js;13;3;10;1;4;3;1
2195895.js;6;5;1;0;4;4;0
1209421.js;14;3;11;1;4;3;1
4068623.js;19;3;16;2;5;3;2
783378.js;21;5;16;2;7;5;2
498372.js;9;2;7;0;2;2;0
2777879.js;6;2;4;1;2;1;1
4852453.js;59;20;39;3;23;20;4
1235067.js;16;3;13;1;4;3;1
2981592.js;33;11;22;2;13;11;2
4107188.js;4;2;2;0;2;2;0
1900008.js;39;9;30;3;12;9;3
5160470.js;19;2;17;4;6;2;4
660070.js;4;3;1;0;3;3;0
